X,Y,UsoVegetacaoIBGE_tif,altitude_br_tif,declividade_br_tif,density3_br_tif,ModisGPP_MOD17A2_2010_rec_tif,ModisNPP_MOD17A3_2010_rec_tif,ModisVCF_MOD44B_2010_rec_tif,sa2001tree_br_tif,UsoAntropicoIBGE_tif
-57.40156699,-8.492851176,13,169.72,121868.6,22.06,515,25333,60,83,1
-54.27669199,-0.876489176,2,297.43,164405.41,20.02,683,23833,78,80,1
-55.40997999,-4.068028176,5,69.73,41181.08,18.21,356,18385,42,74,7
-53.67671599,-7.376229176,16,260.62,337170.81,28.38,647,24814,79,78,1
-54.73500699,-8.317858176,13,303.4,143080.5,22.05,688,25112,75,60,1
-53.12673799,-3.418054176,5,120.28,81534.37,22.41,124,16213,56,16,7
-53.48505699,-1.118146176,16,205.72,277829.19,17.05,665,23923,66,73,1
-50.43517899,-2.168104176,28,20.84,50719.45,22.77,284,23500,78,68,1
-53.55172099,-3.784706176,13,104.69,135063.2,22.33,565,24489,75,43,1
-58.48485699,0.656782824,1,223.83,259755.3,14.65,530,24476,82,80,1
-52.71008799,-1.043149176,2,197.74,170276.59,16.35,635,25012,67,83,1
-56.55160099,-1.959779176,18,39.24,46245.79,23.67,427,27208,72,74,1
-48.97690399,-5.759627176,5,146.5,90595.15,7.25,121,15547,15,34,7
-50.61017199,-8.776173176,34,223.78,60251.5,30.21,708,20120,17,37,1
-51.52680199,-4.084694176,1,131.24,126637.5,19.66,256,23675,77,61,1
-54.83500299,-3.559715176,28,145.62,80723.66,26.04,201,26403,62,77,1
-51.02682199,-7.651218176,7,454.48,899160.38,9.74,197,24031,60,28,1
-52.66008999,-5.251314176,16,221.99,39876.82,12.89,159,18899,77,73,1
-56.06828699,-8.626179176,39,474.91,482843.19,13.38,327,24531,76,84,1
-50.41017999,-5.692963176,2,217.11,81884.48,28.21,153,24968,76,58,1
-56.24327999,-7.659551176,16,296.45,394392.09,17.84,685,23607,79,85,1
-52.99340999,-5.651298176,16,232.29,120453.8,19.8,646,19606,76,87,1
-53.97670399,0.098471824,1,308.27,94879.47,19.94,217,22170,81,86,1
-47.51029599,-1.068148176,5,42.34,73432.56,17.65,666,23799,18,25,2
-55.15165699,-0.626499176,2,409.41,232943.91,22.73,567,26994,80,81,1
-58.65151699,1.206760824,1,389.57,127229.1,12.96,97,24368,76,57,1
-51.76012599,-7.151238176,13,274.52,111497.4,10.94,296,24155,69,37,1
-48.39359399,-1.443133176,6,17.13,4155.6,18.63,683,22946,48,24,1
-55.00166299,-7.542889176,2,299.05,122522,10.08,677,24996,69,80,1
-50.80183099,-4.068028176,2,138.42,198171.59,24.1,298,22925,42,77,1
-52.15177699,-4.951326176,16,234.22,48939.87,11.94,513,23797,72,72,1
-49.61021199,-6.617926176,5,289.69,318996.19,20.58,273,17304,16,65,7
-49.31022399,-3.451386176,28,96.72,87087.86,9.89,604,25442,80,75,1
-52.35176899,-4.651338176,16,239.78,23568.07,15.04,297,22579,72,66,1
-55.63497099,-9.417814176,16,473.43,348744.31,8.04,451,24052,77,73,1
-52.39343399,-2.026443176,2,49.26,36684.05,14.98,219,20832,78,48,1
-52.42676599,-4.468012176,16,217.78,136067,11.94,215,16731,65,66,1
-51.65179699,-9.534476176,16,407.26,407121.91,17.29,684,21776,74,18,1
-51.86845499,-4.684670176,16,231.3,27903.63,18.99,268,25791,75,79,1
-55.73496699,0.940104824,4,318.89,158695.41,22.07,352,26271,56,83,1
-58.12653799,-0.743161176,2,158.87,60643.76,18.85,477,26640,80,82,1
-53.88504099,-5.959619176,16,229.63,40830.36,19.72,319,23333,74,78,1
-54.95999799,0.198467824,2,509.39,22943.46,8.25,165,25479,79,85,1
-54.05170099,-8.742841176,2,322.69,183895.3,15.28,675,24417,69,88,1
-57.42656599,-5.659631176,13,192.78,411178.5,13.45,417,23603,75,82,1
-52.15177699,-5.917954176,2,375.58,601410.88,12.52,446,25232,17,68,1
-57.32656999,1.473416824,2,257.18,72985.09,11.8,633,22919,66,87,1
-53.37672799,-7.092907176,1,306.44,369485.81,19.17,690,23580,80,74,1
-55.19332199,-9.142825176,7,541.06,319539.91,13.25,428,24951,84,74,1
-52.45176499,-2.451426176,2,55.67,55420.08,25.69,194,22833,63,60,1
-54.34335599,-6.651258176,16,308.43,210268.59,10.22,630,22007,73,82,1
-55.97662399,-2.193103176,28,25.18,133385.8,22.12,569,26602,70,92,1
-53.47672399,-5.934620176,21,278.69,188169.41,20.75,604,25720,78,83,1
-53.30173099,-0.026523176,1,174.34,81251.63,11.66,285,26040,67,76,1
-48.23526699,-1.018150176,24,15.36,17415.04,13.49,600,25220,48,19,1
-57.19324199,-8.784506176,22,169.47,119043.3,24.3,628,24966,46,86,1
-55.69330199,0.556786824,7,340.32,102669.9,16.97,352,28248,70,44,1
-49.82686999,-7.626219176,4,212.78,21813.53,15.05,222,14440,18,42,1
-51.91845299,-9.234488176,16,272.82,62585.91,20.05,681,22187,20,59,1
-51.55180099,-8.934500176,16,507.03,516109.5,21.42,413,21246,11,75,1
-55.93495899,2.398379824,1,430.85,200561.91,17.07,585,23068,78,83,1
-46.31867699,-1.843117176,5,19.28,34427.09,24.03,622,23618,22,21,7
